Data,Série,Valor
Nov 2007,M1,191.309446
Dec 2007,M1,235.075119
Jan 2008,M1,193.738675
Feb 2008,M1,187.697652
Mar 2008,M1,187.702397
Apr 2008,M1,190.959053
May 2008,M1,187.522192
Jun 2008,M1,190.551872
Jul 2008,M1,189.986585
Aug 2008,M1,190.995678
Sep 2008,M1,199.382244
Oct 2008,M1,193.650031
Nov 2008,M1,201.858589
Dec 2008,M1,227.166817
Jan 2009,M1,199.815307
Feb 2009,M1,198.079554
Mar 2009,M1,196.166112
Apr 2009,M1,198.350552
May 2009,M1,199.654739
Jun 2009,M1,206.491951
Jul 2009,M1,202.506493
Aug 2009,M1,206.840405
Sep 2009,M1,214.465555
Oct 2009,M1,214.528687
Nov 2009,M1,225.273361
Dec 2009,M1,254.714119
Jan 2010,M1,231.95483
Feb 2010,M1,229.539682
Mar 2010,M1,234.32166
Apr 2010,M1,233.688103
May 2010,M1,236.231009
Jun 2010,M1,240.063569
Jul 2010,M1,241.185103
Aug 2010,M1,248.09606
Sep 2010,M1,254.630048
Oct 2010,M1,255.602306
Nov 2010,M1,265.053833
Dec 2010,M1,287.739157
Jan 2011,M1,263.311792
Feb 2011,M1,260.344752
Mar 2011,M1,258.418003
Apr 2011,M1,254.881493
May 2011,M1,256.145571
Jun 2011,M1,260.499957
Jul 2011,M1,259.274878
Aug 2011,M1,255.050276
Sep 2011,M1,262.523711
Oct 2011,M1,260.30509
Nov 2011,M1,268.690702
Dec 2011,M1,292.168445
Jan 2012,M1,266.624937
Feb 2012,M1,263.700653
Mar 2012,M1,265.172466
Apr 2012,M1,266.494252
May 2012,M1,267.179533
Jun 2012,M1,273.604994
Jul 2012,M1,273.823647
Aug 2012,M1,275.49662
Sep 2012,M1,283.624015
Oct 2012,M1,281.894017
Nov 2012,M1,296.879634
Dec 2012,M1,333.485628
Jan 2013,M1,295.95577
Feb 2013,M1,295.465665
Mar 2013,M1,302.533983
Apr 2013,M1,297.020509
May 2013,M1,302.852163
