Balancete/Balanco Geral (Documentos: 4010 - 4016 - 4020 - 4026);;;;;;;;;;;;;;;;
Data de geracao dos dados: 2015-07-09;;;;;;;;;;;;;; R$1.613.183.001.003,61 ;148;
Fonte: Instituicoes financeiras;;;;;;;;;;;; R$183.668.961.079.270,00 ;; R$321.010.000.000,00 ;BCO DO BRASIL S.A.;0,198991683
#DATA_BASE;DOCUMENTO;CNPJ;AGENCIA;NOME_INSTITUICAO;COD_CONGL;NOME_CONGL;TAXONOMIA;CONTA;NOME_CONTA; SALDO ;;;; R$4.534.232.073,00 ;BRB - BCO DE BRASILIA S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;43200001;RECURSOS DE LETRAS IMOBILIARIAS, HIPOTECARIAS, DE CREDITO E SIMILARES;10492040081;;;; R$810.599.765,80 ;BCV;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;44000004;RELACOES INTERFINANCEIRAS;2570457050;;;; R$2.021.511,81 ;BCO REP ORIENTAL URUGUAY BCE;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;44100007;OBRIGA‚ÍES JUNTO A PARTICIPANTES DE SISTEMAS DE   LIQUIDA‚ÌO;2558821060;;;; R$45.350.050,83 ;BCO ARBI S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;44400006;RELACOES COM CORRESPONDENTES;11635990,1;;;; R$302.696.835,10 ;BCO TRICURY S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;45000003;RELACOES INTERDEPENDENCIAS;2052604004;;;; R$2.412.240.379,00 ;BCO VOLVO BRASIL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;45100006;RECURSOS EM TRANSITO DE TERCEIROS;2039898633;;;; R$27.914.101.034,00 ;BCO SAFRA S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;45200009;TRANSFERENCIAS INTERNAS DE RECURSOS;12705370,48;;;; R$382.981.646,10 ;BCO INTERCAP S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;46000002;OBRIGACOES POR EMPRESTIMOS E REPASSES;73203747718;;;; R$4.398.655.296,00 ;BCO FIBRA S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;46300001;EMPRESTIMOS NO EXTERIOR;25012608074;;;; R$19.014.989.368,00 ;BCO VOLKSWAGEN S.A;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;46400004;REPASSES DO PAIS - INSTITUICOES OFICIAIS;47920631566;;;; R$215.065.332,30 ;BCO LUSO BRASILEIRO S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;46600000;REPASSES DO EXTERIOR;270508078,6;;;; R$3.486.205.448,00 ;BCO GMAC S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;47000001;INSTRUMENTOS FINANCEIROS DERIVATIVOS;1631522806;;;; R$5.220.133.024,00 ;BANCO PAN;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;47100004;INSTRUMENTOS FINANCEIROS DERIVATIVOS;1631522806;;;; R$1.407.833.958,00 ;BCO BRADESCO CARTOES S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;49000009;OUTRAS OBRIGACOES;1,16E+11;;;; R$8.921.435,12 ;BCO ITAUCRED FINANC S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;49100002;COBRANCA E ARRECADACAO DE TRIBUTOS E ASSEMELHADOS;6868608395;;;; R$17.713.241.788,00 ;BCO VOTORANTIM S.A.;
